Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
MDDM.G.100,0.3126315789473684,,1968.0,67.75234599990654,19.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,46.008870001969626,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,35.2321620011935,124.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,40.41582100035157,31.0,1.0,2.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,45.35785199914244,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6480.0,64.91496400121832,23.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,100.77838399956818,2.0,1.0,1.0,0.0
CDDM,0.3126315789473684,,8944.0,91.53893300026539,94.0,1.0,0.0,0.0
CUSUM,0.3126315789473684,,880.0,36.671072000899585,120.0,1.0,0.0,0.0
DDM,0.3126315789473684,,904.0,48.333111000829376,12.0,1.0,1.0,0.0
EDDM,0.3126315789473684,,1472.0,33.29520500119543,150.0,1.0,5.0,0.0
EWMA,0.3126315789473684,,960.0,39.291561999561964,2.0,1.0,5.0,0.0
FHDDM,0.3126315789473684,,1744.0,36.26205600085086,40.0,1.0,0.0,0.0
FHDDMS,0.3126315789473684,,1920.0,52.44767399926786,20.0,1.0,0.0,0.0
FHDDMS.add,0.3126315789473684,,1224.0,39.34083800049848,49.0,1.0,0.0,0.0
HDDM.A.test,0.3126315789473684,,1296.0,54.932766001002165,25.0,1.0,0.0,0.0
HDDM.W.test,0.3126315789473684,,2520.0,53.23840200071572,18.0,1.0,0.0,0.0
MDDM.A.100,0.3126315789473684,,1976.0,89.1828230014653,34.0,1.0,0.0,0.0
MDDM.E.100,0.3126315789473684,,1968.0,64.30791899765609,29.0,1.0,0.0,0.0
MDDM.G.100,0.3126315789473684,,1968.0,67.8158370028541,32.0,1.0,0.0,0.0
NO_DETECTION,0.3126315789473684,,320.0,32.71619700171868,255.0,0.0,0.0,1.0
PageHinkley,0.3126315789473684,,960.0,34.82184400127153,126.0,1.0,0.0,0.0
RDDM,0.3126315789473684,,64024.0,39.229202000569785,10.0,1.0,0.0,0.0
SeqDrift2,0.3126315789473684,,30272.0,45.11437699693488,199.0,1.0,0.0,0.0
ADWIN,0.3126315789473684,,6632.0,65.41016999835847,23.0,1.0,0.0,0.0
BWAF,0.3126315789473684,,1024.0,104.16381699906196,7.0,1.0,2.0,0.0
CDDM,0.3126315789473684,,8944.0,91.50132200011285,91.0,1.0,0.0,0.0
